author,pdf_link,title
,/science/article/pii/S0923753419331278/pdfft?md5=c32b70f1827c871caa15b4569905946e&pid=1-s2.0-S0923753419331278-main.pdf,Editorial board
,/science/article/pii/S092375341933128X/pdfft?md5=afa076f224a905c8056de8e3b846022e&pid=1-s2.0-S092375341933128X-main.pdf,Table of Contents
Yoichi Nakanishi,/science/article/pii/S0923753419331217/pdfft?md5=2853cc9df54ba98bfe2dc6fef2d99e02&pid=1-s2.0-S0923753419331217-main.pdf,Introduction
"Junya Fukuoka, Kishio Kuroda, Tomoi Furukawa, Tomoya Oguri",/science/article/pii/S0923753419328807/pdfft?md5=6c0b0025b30b32667296ba661b9110f0&pid=1-s2.0-S0923753419328807-main.pdf,SL2-1 - The future application of artificial intelligence to pathology diagnosis
Yasushi Okuno,/science/article/pii/S0923753419328819/pdfft?md5=0ff3e4840628ed318385a54e6a73b9e1&pid=1-s2.0-S0923753419328819-main.pdf,SL2-2 - AI technology for precision medicine: current status and future perspectives
Takuhiro Yamaguchi,/science/article/pii/S0923753419329217/pdfft?md5=d4bf4aacc48c1cae86c1cc93ce81aa55&pid=1-s2.0-S0923753419329217-main.pdf,SL3 - Patient-reported outcomes in oncology
Bruce E. Johnson,/science/article/pii/S0923753419328820/pdfft?md5=ba457ee1ffa706725ce4a8832af0a16c&pid=1-s2.0-S0923753419328820-main.pdf,AJS-1 - The impact of 15 years of precision medicine innovation on the treatment of lung cancer
Kohei Shitara,/science/article/pii/S0923753419328832/pdfft?md5=d057e931183fa66985de23cf3a7303a8&pid=1-s2.0-S0923753419328832-main.pdf,AJS-3 - Precision medicine for gastrointestinal cancers
Kentaro Tanaka,/science/article/pii/S0923753419328844/pdfft?md5=e10e00378ecef8ea72c9fc9533bfb53a&pid=1-s2.0-S0923753419328844-main.pdf,AJS-4 - Current Situation of Precision Medicine in Lung Cancer
Chia-Chi Lin,/science/article/pii/S0923753419328856/pdfft?md5=cb8d65379f67f5acbf9903b0e6936a29&pid=1-s2.0-S0923753419328856-main.pdf,AOJS-1 - Roles & opportunities of oncology phase 1 trials in Asia: providing ethnic sensitivity evaluation for Asians/Caucasians
Toshio Shimizu,/science/article/pii/S0923753419328868/pdfft?md5=19c7b8de5b73d4de6d78829f8e9327fd&pid=1-s2.0-S0923753419328868-main.pdf,"AOJS-3 - Practical issues and future perspectives on early phase development in Asia- competition, collaboration and harmonization"
Joohyuk Sohn,/science/article/pii/S092375341932887X/pdfft?md5=5226f17e56e027568cda191e23c73285&pid=1-s2.0-S092375341932887X-main.pdf,AOJS-5 - Investigator initiated clinical trials in Korea; current issues and perspectives focusing in breast cancer trial
Yoon-Sim Yap,/science/article/pii/S0923753419328881/pdfft?md5=d508a76491ac023f55b983ad98df0dbc&pid=1-s2.0-S0923753419328881-main.pdf,AOJS-6 - Issues and perspectives of drug development from Asia; a view from Singapore in breast cancer trials
Jin Li,/science/article/pii/S0923753419329242/pdfft?md5=6d4cf9f8268bd69c066a29cdf638bbe1&pid=1-s2.0-S0923753419329242-main.pdf,AOL-1 - Current situation of CRC treatment in China
Yun Yen,/science/article/pii/S0923753419329254/pdfft?md5=d044a29653bb4088c12c41e9735648e3&pid=1-s2.0-S0923753419329254-main.pdf,AOL-2 - Current status of cancer medicine in Taiwan
Christos S. Karapetis,/science/article/pii/S0923753419329266/pdfft?md5=0efe5b9aea17e54244ee6f3bb78f680b&pid=1-s2.0-S0923753419329266-main.pdf,"AOL-3 - Medical oncology group of Australia: taking a leading role in medical oncology education, patient care & research"
Su Pin Choo,/science/article/pii/S0923753419329278/pdfft?md5=14d64057fae6ee9d2fd940c837fd41c0&pid=1-s2.0-S0923753419329278-main.pdf,AOL-5 - Current situation and perspectives of Medical Oncology in Singapore
